date,num_people,num_order
2019-07-10,700.0,220.0
2019-07-11,843.0,241.0
2019-07-12,656.0,230.0
2019-07-13,1184.0,349.0
2019-07-14,715.0,286.0
2019-07-15,788.0,274.0
2019-07-16,814.0,241.0
2019-07-17,539.0,196.0
2019-07-18,1032.0,292.0
2019-07-19,999.0,293.0
2019-07-20,1006.0,351.0
2019-07-21,874.0,300.0
2019-07-22,638.0,189.0
2019-07-23,892.0,233.0
2019-07-24,761.0,232.0
2019-07-25,924.0,271.0
2019-07-26,1139.0,310.0
2019-07-27,965.0,309.0
2019-07-28,817.0,307.0
2019-07-29,886.0,261.0
2019-07-30,838.0,230.0
2019-08-01,883.0,270.0
2019-08-02,975.0,274.0
2019-08-03,1140.0,336.0
2019-08-04,1060.0,301.0
2019-08-05,815.0,278.0
2019-08-06,952.0,252.0
2019-08-07,1638.0,435.0
2019-08-08,746.0,258.0
2019-08-09,839.0,262.0
2019-08-10,921.0,305.0
2019-08-11,977.0,300.0
2019-08-12,744.0,263.0
2019-08-13,687.0,243.0
2019-08-14,1008.0,325.0
2019-08-15,1166.0,349.0
2019-08-16,1085.0,368.0
2019-08-17,1212.0,432.0
2019-08-18,1197.0,364.0
2019-08-19,858.0,279.0
2019-08-20,1257.0,317.0
2019-08-21,909.0,276.0
2019-08-22,991.0,266.0
2019-08-23,1083.0,350.0
2019-08-24,1295.0,429.0
2019-08-25,1093.0,334.0
2019-08-26,677.0,232.0
2019-08-27,599.0,176.0
2019-08-28,898.0,249.0
2019-08-29,817.0,207.0
2019-08-30,765.0,190.0
2019-09-01,1573.0,306.0
2019-09-02,21.0,179.0
2019-09-25,35.0,189.0
2019-09-26,115.0,198.0
2019-09-27,230.0,202.0
2019-09-29,180.0,208.0
2019-10-01,2467.0,327.0
2019-10-02,2771.0,353.0
2019-10-03,2501.0,313.0
2019-10-04,1994.0,285.0
2019-10-05,2079.0,348.0
2019-10-06,2048.0,353.0
2019-10-07,1863.0,299.0
2019-10-08,923.0,185.0
2019-10-09,995.0,189.0
2019-10-10,929.0,185.0
2019-10-11,1069.0,180.0
2019-10-12,1161.0,241.0
2019-10-13,1586.0,277.0
2019-10-14,638.0,140.0
2019-10-15,928.0,170.0
2019-10-16,1048.0,187.0
2019-10-17,999.0,201.0
2019-10-18,2231.0,255.0
2019-10-19,2178.0,357.0
2019-10-20,1720.0,292.0
2019-10-21,923.0,181.0
2019-10-22,897.0,192.0
2019-10-23,1002.0,192.0
2019-10-24,890.0,168.0
2019-10-25,1299.0,212.0
2019-10-26,1768.0,286.0
2019-10-27,1492.0,265.0
2019-10-28,1013.0,206.0
2019-10-29,1097.0,209.0
2019-10-30,1032.0,203.0
2019-11-01,1856.0,
2019-11-02,2469.0,
2019-11-03,2196.0,
2019-11-04,1088.0,
2019-11-05,1151.0,
2019-11-06,1180.0,
2019-11-07,1090.0,
2019-11-08,1435.0,
2019-11-09,2182.0,
2019-11-10,2189.0,
2019-11-11,1767.0,
2019-11-12,1043.0,
2019-11-13,1146.0,
2019-11-14,1190.0,
2019-11-15,1292.0,
2019-11-16,1861.0,
2019-11-17,1494.0,
2019-11-18,721.0,
2019-11-19,593.0,
2019-11-20,758.0,
2019-11-21,915.0,
2019-11-22,1198.0,
2019-11-23,1820.0,
2019-11-24,1153.0,
2019-12-02,76.0,202.0
2019-12-03,138.0,221.0
2019-12-04,55.0,211.0
2019-12-05,97.0,250.0
2019-12-06,25.0,257.0
2019-12-07,53.0,353.0
2019-12-08,180.0,326.0
2019-12-09,9.0,195.0
2019-12-10,27.0,214.0
2019-12-12,123.0,264.0
2019-12-13,46.0,249.0
2019-12-15,123.0,334.0
2019-12-18,15.0,150.0
2019-12-19,42.0,150.0
2019-12-20,102.0,190.0
2019-12-21,43.0,287.0
2019-12-23,186.0,201.0
2019-12-24,51.0,199.0
2019-12-25,204.0,201.0
2019-12-26,49.0,195.0
2019-12-28,80.0,319.0
2019-12-30,755.0,192.0
2020-01-01,1921.0,336.0
2020-01-02,921.0,193.0
2020-01-03,1013.0,190.0
2020-01-04,1162.0,239.0
2020-01-05,1413.0,283.0
2020-01-06,887.0,187.0
2020-01-07,1075.0,266.0
2020-01-08,1073.0,196.0
2020-01-09,1061.0,233.0
2020-01-10,1218.0,233.0
2020-01-11,1562.0,310.0
2020-01-12,1788.0,316.0
2020-01-13,1131.0,223.0
2020-01-14,934.0,222.0
2020-01-15,1227.0,241.0
2020-01-16,1647.0,334.0
2020-01-17,1676.0,314.0
2020-01-18,2222.0,428.0
2020-01-19,1813.0,391.0
2020-01-20,2053.0,405.0
2020-01-21,2548.0,483.0
2020-01-22,2277.0,474.0
2020-01-23,2697.0,515.0
2020-01-24,601.0,142.0
2020-01-25,932.0,156.0
2020-01-26,1161.0,240.0
2020-01-27,951.0,183.0
2020-01-28,736.0,177.0
2020-01-29,648.0,174.0
2020-01-30,602.0,148.0
2020-02-01,369.0,111.0
2020-02-02,298.0,72.0
2020-02-03,316.0,68.0
2020-02-04,0.0,
2020-02-05,0.0,
2020-02-06,0.0,
2020-02-07,0.0,
2020-02-08,0.0,
2020-02-09,0.0,
2020-02-10,11.0,
2020-02-11,0.0,
2020-02-12,0.0,
2020-02-13,59.0,
2020-02-14,167.0,
2020-02-15,132.0,5.0
2020-02-16,104.0,3.0
2020-02-17,125.0,3.0
2020-02-18,220.0,17.0
2020-02-19,203.0,20.0
2020-02-20,172.0,14.0
2020-02-21,695.0,114.0
2020-02-22,726.0,160.0
2020-02-23,1236.0,244.0
2020-02-24,1098.0,205.0
2020-02-25,988.0,266.0
2020-02-26,885.0,227.0
2020-02-27,1048.0,231.0
2020-03-01,1075.0,243.0
2020-03-02,793.0,176.0
2020-03-03,877.0,164.0
2020-03-04,718.0,146.0
2020-03-05,838.0,202.0
2020-03-06,820.0,211.0
2020-03-07,1077.0,211.0
2020-03-08,1651.0,324.0
2020-03-09,510.0,143.0
2020-03-10,598.0,165.0
2020-03-11,628.0,153.0
2020-03-12,872.0,217.0
2020-03-13,776.0,192.0
2020-03-14,838.0,197.0
2020-03-15,898.0,205.0
2020-03-16,571.0,140.0
2020-03-17,571.0,124.0
2020-03-18,723.0,156.0
2020-03-19,1073.0,217.0
2020-03-20,1168.0,246.0
2020-03-21,1255.0,300.0
2020-03-22,1263.0,295.0
2020-03-23,1011.0,180.0
2020-03-24,1227.0,231.0
2020-03-25,1243.0,264.0
2020-03-26,1088.0,222.0
2020-03-27,1254.0,202.0
2020-03-28,1289.0,248.0
2020-03-29,1159.0,251.0
